user_id,time_created,reservation_time_in,reservation_time_out,license_plate,application_type,employee_id,lot_id,spot_id
8270028,2020-08-22 16:20:31.844496,2020-12-28 15:32:33.065796,2020-12-28 16:26:09.022518,8437345,online,4203227,A,3
9938161,2020-06-04 07:12:03.716653,2020-10-27 21:08:36.238488,2020-10-27 22:47:30.757847,9935850,drive in,3576334,C,10
4614846,2020-01-12 11:39:48.390649,2020-03-26 12:48:57.761084,2020-03-26 13:03:14.868560,4831348,online,7243069,C,4
7376108,2020-03-03 17:37:55.737945,2020-09-24 07:27:17.452586,2020-09-24 07:53:54.104850,3363215,drive in,5412028,B,9
4525158,2020-11-11 23:12:36.495922,2020-11-24 22:03:05.457184,2020-11-24 23:16:17.141208,8375533,member,5904246,B,3
7516427,2020-01-17 19:36:42.676040,2020-09-04 23:58:15.670209,2020-09-05 00:25:38.523417,3984991,member,5412028,A,2
7176764,2020-04-04 08:21:48.971319,2020-11-08 10:53:02.205765,2020-11-08 12:46:07.282439,4762410,member,2589801,C,9
8777089,2020-08-06 05:50:22.016513,2020-08-13 10:34:17.833659,2020-08-13 11:23:53.099881,5822858,member,8785292,B,5
7993995,2020-03-28 13:49:31.108470,2020-06-28 01:13:57.282877,2020-06-28 02:14:01.799583,6894079,drive in,4203227,C,7
3503880,2020-09-24 16:07:37.466122,2020-10-25 02:16:18.278581,2020-10-25 03:29:54.313185,3267196,drive in,2786173,A,7
7176764,2020-02-20 08:30:01.045549,2020-04-15 14:45:10.056515,2020-04-15 15:32:48.248700,4762410,member,5904246,C,9
1668895,2020-07-30 16:58:07.599918,2020-11-20 22:48:18.575199,2020-11-21 00:27:28.121299,8219581,online,3576334,B,9
7978528,2020-11-16 09:12:38.440585,2020-12-02 22:24:35.978874,2020-12-02 23:56:23.674722,8877066,member,5451098,B,6
7993995,2020-10-13 03:03:29.594057,2020-10-26 18:54:53.595796,2020-10-26 19:03:27.574666,5522162,drive in,3729542,B,1
9938161,2020-10-31 17:36:28.023515,2020-12-19 11:25:32.702636,2020-12-19 13:19:23.323936,1908635,drive in,3066104,A,3
8270028,2020-03-05 11:10:38.255186,2020-04-20 15:09:11.199001,2020-04-20 16:23:18.696196,2393043,online,4203227,C,9
7376108,2020-05-08 20:30:34.949858,2020-12-05 03:29:19.234266,2020-12-05 04:05:07.690296,3218523,online,2910734,C,4
2809735,2020-07-28 11:01:23.133917,2020-11-28 19:43:40.941403,2020-11-28 20:09:57.453911,8747941,drive in,3074446,B,1
9938161,2020-02-07 02:43:32.379934,2020-08-29 10:17:21.499598,2020-08-29 11:08:42.026212,5651663,drive in,5451098,C,2
7993995,2020-09-15 19:32:23.221548,2020-12-20 15:23:15.043073,2020-12-20 15:44:10.866726,3624531,drive in,3729542,C,10
3503880,2020-12-10 14:13:51.447727,2020-12-13 15:23:47.961804,2020-12-13 16:31:28.762372,6158278,online,6946754,B,6
4525158,2020-06-05 13:49:36.856888,2020-08-21 00:31:44.192915,2020-08-21 01:23:48.873011,8375533,member,3670637,B,3
7449405,2020-08-04 18:36:56.073961,2020-09-13 06:06:31.160101,2020-09-13 07:42:40.106460,1564348,online,6448341,A,1
5481643,2020-08-01 11:34:30.277846,2020-08-28 13:43:07.682806,2020-08-28 15:23:19.250961,6118848,drive in,3438400,A,9
8384993,2020-12-23 06:10:59.660856,2020-12-28 04:43:36.679595,2020-12-28 04:51:11.709624,9040724,member,5412028,C,10
4614846,2020-01-02 03:39:50.011359,2020-11-10 11:22:25.069953,2020-11-10 12:56:14.483101,1641178,drive in,2786173,B,1
7376108,2020-01-31 05:14:39.014961,2020-03-31 04:01:00.285166,2020-03-31 05:43:35.523960,2459466,online,3576334,C,1
7978528,2020-11-13 02:43:45.136964,2020-12-24 21:08:35.276984,2020-12-24 22:11:09.769958,8877066,member,2786173,B,6
4614846,2020-02-12 19:13:32.767232,2020-09-14 13:16:00.816359,2020-09-14 13:39:28.289946,2850346,drive in,2589801,C,8
4614846,2020-03-10 03:24:49.719811,2020-07-27 14:44:15.628999,2020-07-27 15:19:55.270510,7033128,drive in,7243069,A,8
